2026-05-02 07:17:13,085 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 114)
2026-05-02 07:17:13,104 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 108)
2026-05-02 07:17:13,132 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 115)
2026-05-02 07:17:13,148 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 109)
2026-05-02 07:17:13,164 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 110)
2026-05-02 07:17:13,179 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 111)
2026-05-02 07:17:13,195 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 112)
2026-05-02 07:17:13,211 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 113)
2026-05-02 07:17:13,227 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 114)
2026-05-02 07:17:13,242 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 115)
2026-05-02 07:17:13,257 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 116)
2026-05-02 07:17:13,273 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 116)
2026-05-02 07:17:13,289 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 117)
2026-05-02 07:17:13,305 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 117)
2026-05-02 07:17:13,335 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 118)
2026-05-02 07:17:13,351 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 118)
2026-05-02 07:17:13,365 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 119)
